# put the affix in Column A and the tags you want it to have in following columns.
#
# tags can have multipliers
# for example; the added strength entry might be:
#
# +1 to Strength; AddStr; MaxLife*0.5
#
# so if an item has a "+23 to Strength" mod;
# then the AddStr tag will get 23 points and the MaxLife tag will get 11.5 points
# (this tool doesn't round down like the game would)
#
# a multiplier of zero means to count the mod as 1 no matter the value
# having no tag is interpreted as Junk*0
#
# mods are checked in order, so if there are duplicates in this file, only the first will match

+1% to Chaos Resistance; ResChaos; TotRes
+1% to Cold and Chaos Resistances; ResCold; ResChaos; TotRes*2
+1% to Cold and Lightning Resistances; ResCold; ResLight; TotRes*2
+1% to Cold Resistance; ResCold; TotRes
+1% to Fire and Chaos Resistances; ResFire; ResChaos; TotRes*2
+1% to Fire and Cold Resistances; ResFire; ResCold; TotRes*2
+1% to Fire and Lightning Resistances; ResFire; ResLight; TotRes*2
+1% to Fire Resistance; ResFire; TotRes
+1% to Lightning and Chaos Resistances; ResLight; ResChaos; TotRes*2
+1% to Lightning Resistance; ResLight; TotRes
+1% to All Elemental Resistances; ResAll; ResCold; ResFire; ResLight; TotRes*3
+1% chance to Suppress Spell Damage; Suppress; TotRes*2

+1 to Maximum Life; MaxLife
1% increased Maximum Life; PctLife
1% increased Movement Speed; MoveSpeed

1% increased Attack and Cast Speed; CastSpeed
1% increased Cast Speed; CastSpeed
1% increased Projectile Speed; ProjSpeed

+1 to Dexterity; AddDex; TotAttr
+1 to Strength; AddStr; TotAttr; MaxLife*0.5
+1 to Intelligence; AddInt; TotAttr
+1 to All Attributes; AddDex; AddStr; AddInt; TotAttr*3; MaxLife*0.5
+1 to Strength and Dexterity; AddStr; AddDex; TotAttr*2; MaxLife*0.5
+1 to Strength and Intelligence; AddStr; AddInt; TotAttr*2; MaxLife*0.5
+1 to Dexterity and Intelligence; AddDex; AddInt; TotAttr*2

1% increased Chaos Damage; DamPctChaos; SpellPctChaos
1% increased Cold Damage; DamPctCold; SpellPctCold
1% increased Fire Damage; DamPctFire; SpellPctFire
1% increased Lightning Damage; DamPctLight; SpellPctLight
1% increased Physical Damage; DamPctPhys
1% increased Global Physical Damage; DamPctPhys
1% increased Elemental Damage; SpellPct; SpellPctCold; SpellPctFire; SpellPctLight; DamPctEle
1% increased Damage; DamPctAll; DamPctChaos; DamPctCold; DamPctFire; DamPctLight; DamPctPhys
1% increased Spell Damage; SpellPct; SpellPctChaos; SpellPctCold; SpellPctFire; SpellPctLight
1% increased Burning Damage; DamPctBurn

+1% to Chaos Damage over Time Multiplier; DotMulChaos; NumDot*0
+1% to Cold Damage over Time Multiplier; DotMulCold; NumDot*0
+1% to Fire Damage over Time Multiplier; DotMulFire; NumDot*0
+1% to Physical Damage over Time Multiplier; DotMulPhys; NumDot*0
+1% to Damage over Time Multiplier; DotAll; DotMulChaos; DotMulCold; DotMulFire; DotMulPhys; NumDot*0

1% increased Damage over Time; NumDot*0
+1% to Damage over Time Multiplier for Bleeding; NumDot*0
+1% to Damage over Time Multiplier for Poison per Frenzy Charge; NumDot*0
+1% to Damage over Time Multiplier with Attack Skills; NumDot*0
1% increased Damage over Time while Dual Wielding; NumDot*0
1% increased Damage over Time while holding a Shield; NumDot*0
1% increased Damage over Time while wielding a Two Handed Weapon; NumDot*0
Cursed enemies take 1% increased Damage from Damage Over Time effects; NumDot*0
Modifiers to Spell Damage apply to this Skill's Damage Over Time effect; NumDot*0

+1 to Level of all Chaos Spell Skill Gems; GemLvl; GemLvlChaos
+1 to Level of all Cold Spell Skill Gems; GemLvl; GemLvlCold
+1 to Level of all Fire Spell Skill Gems; GemLvl; GemLvlFire
